Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Priority,Test Type,Test Set Key,Precondition Key,,
FR1: Adding Posts,GUI,1101,"  Textbox ""Whats on your mind?"" is alligned with profile picture",App is Installed and Opened,Click on HOME icon,"The Textbox ""Whats on your mind?"" is alligned with profile picture",HIGH,Manual,FTT-67,FTT-72,App is Installed and Opened,FTT-72
  FR1: Adding Posts,GUI,1102,"Verify   ""Whats on your mind?"" is typed when a post is empty.",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,You have at least one photo in gallery,FTT-73
,,1102,,,"Click on ""Whats on your mind?"" Textbox","""Whats on your mind?"" is typed when a post is empty.",,,,,Facebook is given permision to access gallery,FTT-74
  FR1: Adding Posts,GUI,1103,"Verify   ""Photo/Video"" Button exists",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,Facebook is given permision to access camera,FTT-75
,,1103,,,"Click on ""Whats on your mind?"" Textbox","  ""Photo/Video"" Button exists",,,,,You have at least one video in gallery,FTT-76
  FR1: Adding Posts,GUI,1104,"Verify   ""Tag People"" Button exists",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,Facebook is given permision to record audio,FTT-77
,,1104,,,"Click on ""Whats on your mind?"" Textbox","  ""Tag People"" Button exists",,,,,Facebook is given permision to record video,FTT-79
  FR1: Adding Posts,GUI,1105,"Verify   ""Feeling/activity"" Button exists",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1105,,,"Click on ""Whats on your mind?"" Textbox","  ""Feeling/activity"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1106,"Verify   ""Check in"" Button exists",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-67,FTT-72,GUI,FTT-67
,,1106,,,"Click on ""Whats on your mind?"" Textbox","  ""Check in"" Button exists",,,,,Positive,FTT-68
  FR1: Adding Posts,GUI,1107,"Verify   ""Live video"" Button exists",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,Negative,FTT-69
,,1107,,,"Click on ""Whats on your mind?"" Textbox","  ""Live video"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1108,"Verify   ""Background color"" Button exists",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1108,,,"Click on ""Whats on your mind?"" Textbox","  ""Background color"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1109,"Verify   ""Camera"" Button exists",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1109,,,"Click on ""Whats on your mind?"" Textbox","  ""Camera"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1110,"Verify   ""GIF"" Button exists",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-67,FTT-72,,
,,1110,,,"Click on ""Whats on your mind?"" Textbox","  ""GIF"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1111,"Verify   ""Music"" Button exists",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1111,,,"Click on ""Whats on your mind?"" Textbox","  ""Music"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1112,"Verify   ""Layouts"" Button exists",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1112,,,"Click on ""Whats on your mind?"" Textbox","  ""Layouts"" Button exists",,,,,,
  FR1: Adding Posts,GUI,1113,"Verify ""Share"" Button exists and not enabled",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1113,,,"Click on ""Whats on your mind?"" Textbox","  ""Share"" Button exists and not enabled",,,,,,
  FR1: Adding Posts,GUI,1114,"Verify ""Share"" Button exists and enabled",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1114,,,"Click on ""Whats on your mind?"" Textbox","  ""Share"" Button exists and enabled",,,,,,
,,1114,,,"Write Dummy Text in ""Whats on your mind"" textbox",,,,,,,
  FR1: Adding Posts,GUI,1115,"Verify   ""Post Audience"" Button exists with ""Public"" as Default",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1115,,,"Click on ""Whats on your mind?"" Textbox","  ""Post Audience"" Button exists with ""Public"" as Default",,,,,,
  FR1: Adding Posts,GUI,1116,"Verify   ""Sharing to instagram"" Button exists with ""Off"" as Default",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1116,,,"Click on ""Whats on your mind?"" Textbox","  ""Sharing to instagram"" Button exists with ""Off"" as Default",,,,,,
  FR1: Adding Posts,GUI,1117,"Verify   ""Camera"" Button exists in adding photo/Video",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-67,FTT-72,,
,,1117,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1117,,,"Click ""Photo/video"" Button","  ""Camera"" Button exists in adding photo/Video",,,,,,
  FR1: Adding Posts,GUI,1118,"Verify   ""Select multiple"" Button exists in adding photo/Video",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1118,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1118,,,"Click ""Photo/video"" Button","  ""Select multiple"" Button exists in adding photo/Video",,,,,,
  FR1: Adding Posts,GUI,1119,"Verify   ""Choose layout"" Button exists in adding photo/Video",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-67,FTT-72,,
,,1119,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1119,,,"Click ""Photo/video"" Button","  ""Choose layout"" Button exists in adding photo/Video",,,,,,
  FR1: Adding Posts,GUI,1120,"Verify ""Search"" Bar Exists in Tag people",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-67,FTT-72,,
,,1120,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1120,,,"Click ""Tag people"" Button","""Search"" Bar Exists in Tag people",,,,,,
  FR1: Adding Posts,GUI,1121,"Verify ""Search"" Bar Exists in Check in",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1121,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1121,,,"Click ""Check in"" Button","""Search"" Bar Exists in Check in",,,,,,
  FR1: Adding Posts,GUI,1122,"Verify ""Search"" Bar Exists in GIF",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1122,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1122,,,"Click ""GIF"" Button","""Search"" Bar Exists in GIF",,,,,,
  FR1: Adding Posts,GUI,1123,"Verify ""Search"" Bar Exists in Music",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1123,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
,,1123,,,"Click ""Music"" Button","""Search"" Bar Exists in Music",,,,,,
  FR1: Adding Posts,GUI,1124,Verify Keyboard pops up when trying to type a post  ,App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-67,FTT-72,,
,,1124,,,"Click on ""Whats on your mind?"" Textbox",,,,,,,
