Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Test Type,Precondition Key,Test Set Key,,
FR2: Adding Stories,GUI,2101,"Verify  ""+"" button exists in the top right of the home page",App is Installed and Opened,Click on HOME icon,"""+"" button exists in the top right of the home page ",Manual,FTT-72,FTT-218,App is Installed and Opened,FTT-72
FR2: Adding Stories,GUI,2102,"Verify  ""Story"" button exists in the ""Add"" pop-up",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,You have at least one photo in gallery,FTT-73
,,2102,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,Facebook is given permision to access gallery,FTT-74
FR2: Adding Stories,GUI,2103,"Verify  ""Camera"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,Facebook is given permision to access camera,FTT-75
,,2103,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,You have at least one video in gallery,FTT-76
,,2103,,,"Click on ""Story""","""Camera"" Button should exist in the lower right corner",,,,Facebook is given permision to record audio,FTT-77
FR2: Adding Stories,GUI,2104,"Verify  ""Story Privacy"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,Facebook is given permision to record video,FTT-79
,,2104,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2104,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
FR2: Adding Stories,GUI,2105,"Verify  ""Select Multiple"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,GUI,FTT-218
,,2105,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,Positive,FTT-219
,,2105,,,"Click on ""Story""","""Select multiple"" Button should exist",,,,Negative,FTT-220
FR2: Adding Stories,GUI,2106,"Verify  ""close"" ""x"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2106,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
