Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Priority,Test Type,Precondition Key,Test Set Key,,
FR3: Messaging,GUI,3101,"Verify  ""Messenger"" button exists in the top right of the home page",App is Installed and Opened,Click on HOME icon,"""Messenger"" button exists in the top right of the home page ",HIGH,Manual,FTT-72,FTT-276,App is Installed and Opened,FTT-72
FR3: Messaging,GUI,3102,"Verify  ""Search"" bar exists in the ""Chats"" window",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-276,You have at least one photo in gallery,FTT-73
,,3102,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""Search"" bar",,,,,Facebook is given permision to access gallery,FTT-74
FR3: Messaging,GUI,3103,"Verify  ""Settings"" icon exists in the ""Chats"" window",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-276,Facebook is given permision to access camera,FTT-75
,,3103,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""Settings"" icon",,,,,You have at least one video in gallery,FTT-76
FR3: Messaging,GUI,3104,"Verify  ""New Message"" icon exists in the ""Chats"" window",App is Installed and Opened,Click on HOME icon,,MEDIUM,Manual,FTT-72,FTT-276,Facebook is given permision to record audio,FTT-77
,,3104,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,Facebook is given permision to record video,FTT-79
FR3: Messaging,GUI,3105,"Verify  ""Search"" bar exists in the ""Choose friends"" window when writing new message",App is Installed and Opened,Click on HOME icon,,HIGH,Manual,FTT-72,FTT-276,,
,,3105,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3105,,,"Click on ""New message"" icon","""Choose Friends"" Window opens with ""Search"" bar",,,,,GUI,FTT-276
FR3: Messaging,GUI,3106,"Verify ""Call"" icon exists in the upper right part of chat window",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-276,Positive,FTT-277
,,3106,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,Negative,FTT-278
,,3106,,,Click on any friend chat,"chat window opens with Friend name as title. And ""Call"" icon exists in the upper right of chat window",,,,,,
FR3: Messaging,GUI,3107,"Verify ""Video"" icon exists in the upper right part of chat window",App is Installed and Opened,Click on HOME icon,,LOW,Manual,FTT-72,FTT-276,,
,,3107,,,"Click on the ""Messenger"" icon","""Chats"" Window opens with ""New message"" icon in the top right of the page",,,,,,
,,3107,,,Click on any friend chat,"chat window opens with Friend name as title. And ""Video"" icon exists in the upper right of chat window",,,,,,
